	gene_short_name
BCAS2	BCAS2
BCAS4	BCAS4
BCAT1	BCAT1
BCCIP	BCCIP
BCHE	BCHE
BCKDHB	BCKDHB
BCL11A	BCL11A
BCL2L13	BCL2L13
BCL2L14	BCL2L14
BCL9L	BCL9L
BCL9	BCL9
BCLAF1	BCLAF1
BDKRB1	BDKRB1
BET1	BET1
BFAR	BFAR
BHLHE41	BHLHE41
BICC1	BICC1
BIK	BIK
BIRC2	BIRC2
BIRC3	BIRC3
BIRC5	BIRC5
BIRC6	BIRC6
BIRC7	BIRC7
BLNK	BLNK
BLZF1	BLZF1
BMF	BMF
BMP2	BMP2
BMP5	BMP5
BMP7	BMP7
BMPR1A	BMPR1A
BMX	BMX
BNIP1	BNIP1
BNIP3L	BNIP3L
BRAP	BRAP
BRCA1	BRCA1
BRD8	BRD8
BRIX1	BRIX1
BRMS1L	BRMS1L
BST1	BST1
BTAF1	BTAF1
BTBD1	BTBD1
BTBD7	BTBD7
BTK	BTK
BTN3A3	BTN3A3
BTNL8	BTNL8
BZW1	BZW1
C10orf88	C10orf88
C11orf58	C11orf58
C12orf49	C12orf49
C13orf15	C13orf15
C16orf62	C16orf62
C18orf1	C18orf1
C19orf44	C19orf44
C19orf53	C19orf53
C1GALT1	C1GALT1
C1QBP	C1QBP
C1QTNF3	C1QTNF3
C1orf109	C1orf109
C1orf112	C1orf112
C1orf21	C1orf21
C20orf194	C20orf194
C2orf40	C2orf40
C2orf42	C2orf42
C3orf52	C3orf52
C5orf15	C5orf15
C5orf22	C5orf22
C5	C5
C6orf118	C6orf118
C6	C6
C7orf49	C7orf49
C7	C7
C8B	C8B
C9	C9
CA11	CA11
CAB39L	CAB39L
CABIN1	CABIN1
CACNA2D2	CACNA2D2
CACNG3	CACNG3
CACNG4	CACNG4
CACNG7	CACNG7
CACYBP	CACYBP
CADPS2	CADPS2
CAD	CAD
CALB1	CALB1
CALCOCO1	CALCOCO1
CALCRL	CALCRL
CALCR	CALCR
CALD1	CALD1
CAMK2B	CAMK2B
CAND1	CAND1
CAP2	CAP2
CAPN3	CAPN3
CAPN6	CAPN6
CAPRIN2	CAPRIN2
CAPZA1	CAPZA1
CAPZB	CAPZB
CARD10	CARD10
CARD8	CARD8
CASC1	CASC1
CASP10	CASP10
CASP2	CASP2
CASP8	CASP8
CASQ2	CASQ2
CAT	CAT
CAV1	CAV1
CAV2	CAV2
CBFA2T2	CBFA2T2
CBFB	CBFB
CBLB	CBLB
CBLL1	CBLL1
CBL	CBL
CBX1	CBX1
CBX3	CBX3
CC2D2A	CC2D2A
CCAR1	CCAR1
CCDC113	CCDC113
CCDC114	CCDC114
CCDC18	CCDC18
CCDC34	CCDC34
CCDC6	CCDC6
CCDC80	CCDC80
CCDC85A	CCDC85A
CCDC86	CCDC86
CCDC88A	CCDC88A
CCDC88C	CCDC88C
CCDC91	CCDC91
CCDC9	CCDC9
CCL7	CCL7
CCL8	CCL8
CCNB1IP1	CCNB1IP1
CCNC	CCNC
CCND1	CCND1
CCND2	CCND2
CCND3	CCND3
CCNG1	CCNG1
CCNI	CCNI
CCNJ	CCNJ
CCNT2	CCNT2
CCNY	CCNY
CCRL2	CCRL2
CCT4	CCT4
CD160	CD160
CD200	CD200
CD2	CD2
CD33	CD33
CD38	CD38
CD3EAP	CD3EAP
CD44	CD44
CD46	CD46
CD5L	CD5L
CD69	CD69
CD81	CD81
CD83	CD83
CD86	CD86
CD99L2	CD99L2
CD99	CD99
CD9	CD9
CDADC1	CDADC1
CDC14A	CDC14A
CDC14B	CDC14B
CDC25B	CDC25B
CDC27	CDC27
CDC37L1	CDC37L1
CDC45	CDC45
CDC5L	CDC5L
CDC7	CDC7
CDCA3	CDCA3
CDH10	CDH10
CDH11	CDH11
CDH17	CDH17
CDH19	CDH19
CDH1	CDH1
CDH20	CDH20
CDH23	CDH23
CDH26	CDH26
CDH2	CDH2
CDH6	CDH6
CDH7	CDH7
CDH9	CDH9
CDHR2	CDHR2
CDK13	CDK13
CDK14	CDK14
CDK17	CDK17
CDK5RAP1	CDK5RAP1
CDK5RAP3	CDK5RAP3
CDK6	CDK6
CDKL3	CDKL3
CDKL5	CDKL5
CDKN1B	CDKN1B
CDKN2C	CDKN2C
CDKN3	CDKN3
CDON	CDON
CDS2	CDS2
CDV3	CDV3
CDX1	CDX1
CEACAM21	CEACAM21
CEACAM5	CEACAM5
CEACAM6	CEACAM6
CEACAM7	CEACAM7
CEBPZ	CEBPZ
CECR2	CECR2
CELF2	CELF2
CELSR1	CELSR1
CELSR3	CELSR3
CENPF	CENPF
CENPI	CENPI
CENPK	CENPK
CENPL	CENPL
CENPQ	CENPQ
CENPT	CENPT
CEP152	CEP152
CEP164	CEP164
CEP192	CEP192
CEP68	CEP68
CEP70	CEP70
CEP76	CEP76
CERK	CERK
CFHR2	CFHR2
CFH	CFH
CFLAR	CFLAR
CFTR	CFTR
CGRRF1	CGRRF1
CHCHD3	CHCHD3
CHD5	CHD5
CHD6	CHD6
CHD8	CHD8
CHGB	CHGB
CHI3L2	CHI3L2
CHIC2	CHIC2
CHKB	CHKB
CHMP2B	CHMP2B
CHMP4B	CHMP4B
CHN2	CHN2
CHORDC1	CHORDC1
CHPT1	CHPT1
CHRDL1	CHRDL1
CHRNA2	CHRNA2
CHRNB4	CHRNB4
CHST8	CHST8
CIC	CIC
CISD1	CISD1
CLASP1	CLASP1
CLASP2	CLASP2
CLCA1	CLCA1
CLCA4	CLCA4
CLCC1	CLCC1
CLCN3	CLCN3
CLCN4	CLCN4
CLDN11	CLDN11
CLDN16	CLDN16
CLDN18	CLDN18
CLDND1	CLDND1
CLEC16A	CLEC16A
CLEC2B	CLEC2B
CLEC2D	CLEC2D
CLIC5	CLIC5
CLINT1	CLINT1
CLIP4	CLIP4
CLK1	CLK1
CLK4	CLK4
CLN5	CLN5
CLNK	CLNK
CLNS1A	CLNS1A
CLPTM1L	CLPTM1L
CLSPN	CLSPN
CLTA	CLTA
CLTCL1	CLTCL1
CLU	CLU
CLYBL	CLYBL
CMAS	CMAS
CMTM6	CMTM6
CNGB1	CNGB1
CNN3	CNN3
CNNM1	CNNM1
CNOT1	CNOT1
CNOT2	CNOT2
CNOT4	CNOT4
CNOT6	CNOT6
CNRIP1	CNRIP1
CNTLN	CNTLN
CNTN1	CNTN1
CNTN3	CNTN3
CNTNAP1	CNTNAP1
CNTNAP3	CNTNAP3
COBLL1	COBLL1
COBL	COBL
COCH	COCH
COG4	COG4
COL10A1	COL10A1
COL11A1	COL11A1
COL12A1	COL12A1
COL17A1	COL17A1
COL19A1	COL19A1
COL1A1	COL1A1
COL21A1	COL21A1
COL23A1	COL23A1
COL4A1	COL4A1
COL4A3BP	COL4A3BP
COL4A4	COL4A4
COL9A1	COL9A1
COMMD2	COMMD2
COPA	COPA
COPS5	COPS5
COPS7A	COPS7A
COPZ1	COPZ1
COQ6	COQ6
CORO1C	CORO1C
CORO2A	CORO2A
CORO2B	CORO2B
COTL1	COTL1
COX10	COX10
COX7A2L	COX7A2L
COX7A2	COX7A2
CPA1	CPA1
CPEB3	CPEB3
CPEB4	CPEB4
CPE	CPE
CPN1	CPN1
CPNE3	CPNE3
CPOX	CPOX
CPPED1	CPPED1
CPS1	CPS1
CPSF3	CPSF3
CPT1A	CPT1A
CPVL	CPVL
CPXM2	CPXM2
CR2	CR2
CRB2	CRB2
CREB1	CREB1
CREBBP	CREBBP
CREBL2	CREBL2
CREM	CREM
CRISP1	CRISP1
CRISP2	CRISP2
CRISP3	CRISP3
CRISPLD1	CRISPLD1
CRISPLD2	CRISPLD2
CRLS1	CRLS1
CRMP1	CRMP1
CROCC	CROCC
CROT	CROT
CRTAC1	CRTAC1
CRTAM	CRTAM
CRTC1	CRTC1
CRY1	CRY1
CRYBG3	CRYBG3
CRYGD	CRYGD
CRYM	CRYM
CRYZ	CRYZ
CSDE1	CSDE1
CSE1L	CSE1L
CSMD2	CSMD2
CSNK1A1	CSNK1A1
CSNK2A1	CSNK2A1
CSPP1	CSPP1
CSRNP2	CSRNP2
CST4	CST4
CSTF2	CSTF2
CTBS	CTBS
CTCFL	CTCFL
CTH	CTH
CTNNA1	CTNNA1
CTNNA2	CTNNA2
CTNNAL1	CTNNAL1
CTNNB1	CTNNB1
CTPS2	CTPS2
CTSC	CTSC
CTSG	CTSG
CTSH	CTSH
CTTNBP2	CTTNBP2
CUBN	CUBN
CUEDC2	CUEDC2
CUL1	CUL1
CUL2	CUL2
CUL3	CUL3
CUL7	CUL7
CUTC	CUTC
CUX2	CUX2
CWH43	CWH43
CXCL6	CXCL6
CXorf56	CXorf56
CYB561D2	CYB561D2
CYB5B	CYB5B
CYB5R4	CYB5R4
CYBRD1	CYBRD1
CYFIP2	CYFIP2
CYLD	CYLD
CYP20A1	CYP20A1
CYP2C18	CYP2C18
CYP3A43	CYP3A43
