	gene_short_name
HNRNPA2B1	HNRNPA2B1
HNRNPAB	HNRNPAB
HNRNPC	HNRNPC
HNRNPH3	HNRNPH3
HNRNPL	HNRNPL
HOMER2	HOMER2
HOOK2	HOOK2
HOXA11	HOXA11
HOXA13	HOXA13
HOXA1	HOXA1
HOXA2	HOXA2
HOXA3	HOXA3
HOXA5	HOXA5
HOXA6	HOXA6
HOXA7	HOXA7
HOXA9	HOXA9
HOXB3	HOXB3
HOXB5	HOXB5
HOXB8	HOXB8
HOXC12	HOXC12
HOXC8	HOXC8
HPCAL1	HPCAL1
HPN	HPN
HS1BP3	HS1BP3
HS3ST2	HS3ST2
HS3ST3B1	HS3ST3B1
HSD11B1	HSD11B1
HSD17B2	HSD17B2
HSDL2	HSDL2
HSF2	HSF2
HSP90AA1	HSP90AA1
HSPA9	HSPA9
HSPB11	HSPB11
HSPH1	HSPH1
HTATSF1	HTATSF1
HTR2A	HTR2A
HTRA2	HTRA2
HUWE1	HUWE1
HYAL4	HYAL4
IAPP	IAPP
IARS2	IARS2
IBSP	IBSP
IBTK	IBTK
ICA1	ICA1
ICAM1	ICAM1
ICAM2	ICAM2
ICAM4	ICAM4
ICAM5	ICAM5
ICK	ICK
ID2	ID2
IDE	IDE
IDI1	IDI1
IDS	IDS
IFI35	IFI35
IFIH1	IFIH1
IFIT2	IFIT2
IFIT3	IFIT3
IFNA6	IFNA6
IFNGR1	IFNGR1
IFRD1	IFRD1
IFT20	IFT20
IFT46	IFT46
IFT57	IFT57
IFT74	IFT74
IFT80	IFT80
IFT81	IFT81
IFT88	IFT88
IGF1	IGF1
IGF2BP2	IGF2BP2
IGFBP2	IGFBP2
IGSF9	IGSF9
IKZF2	IKZF2
IK	IK
IL12RB1	IL12RB1
IL12RB2	IL12RB2
IL13RA2	IL13RA2
IL17F	IL17F
IL18R1	IL18R1
IL18RAP	IL18RAP
IL1A	IL1A
IL1R1	IL1R1
IL1R2	IL1R2
IL1RL1	IL1RL1
IL20RA	IL20RA
IL26	IL26
IL2RB	IL2RB
IL2	IL2
IL4R	IL4R
IL5	IL5
IL7	IL7
ILVBL	ILVBL
IMPAD1	IMPAD1
IMPG1	IMPG1
IMPG2	IMPG2
ING3	ING3
INHBA	INHBA
INO80D	INO80D
INPP4A	INPP4A
INPP4B	INPP4B
INPP5A	INPP5A
INSIG2	INSIG2
INSL6	INSL6
INTS6	INTS6
INTS9	INTS9
INVS	INVS
IPCEF1	IPCEF1
IPO11	IPO11
IPO5	IPO5
IQCE	IQCE
IQCG	IQCG
IQCH	IQCH
IQSEC2	IQSEC2
IRAK3	IRAK3
ISL1	ISL1
ISM1	ISM1
ISM2	ISM2
ISOC1	ISOC1
ITCH	ITCH
ITGA4	ITGA4
ITGA5	ITGA5
ITGA6	ITGA6
ITGA8	ITGA8
ITGAE	ITGAE
ITGAL	ITGAL
ITGB6	ITGB6
ITGB8	ITGB8
ITIH5	ITIH5
ITK	ITK
ITM2A	ITM2A
ITPR2	ITPR2
IVNS1ABP	IVNS1ABP
IYD	IYD
JAK2	JAK2
JAK3	JAK3
JARID2	JARID2
JKAMP	JKAMP
JMJD6	JMJD6
JOSD1	JOSD1
KANK1	KANK1
KAT2B	KAT2B
KATNAL1	KATNAL1
KAZALD1	KAZALD1
KBTBD7	KBTBD7
KCNAB2	KCNAB2
KCNC4	KCNC4
KCNH4	KCNH4
KCNIP3	KCNIP3
KCNJ8	KCNJ8
KCNK10	KCNK10
KCNK2	KCNK2
KCNN1	KCNN1
KCNQ1	KCNQ1
KCTD10	KCTD10
KCTD9	KCTD9
KDM1A	KDM1A
KDM3A	KDM3A
KDM4C	KDM4C
KDM5A	KDM5A
KDM5B	KDM5B
KEAP1	KEAP1
KHDRBS1	KHDRBS1
KHDRBS2	KHDRBS2
KHNYN	KHNYN
KIAA0141	KIAA0141
KIAA0391	KIAA0391
KIAA0556	KIAA0556
KIAA0586	KIAA0586
KIAA1107	KIAA1107
KIAA1211	KIAA1211
KIAA1217	KIAA1217
KIAA1549	KIAA1549
KIF14	KIF14
KIF16B	KIF16B
KIF18A	KIF18A
KIF1B	KIF1B
KIF20A	KIF20A
KIF22	KIF22
KIF25	KIF25
KIF26A	KIF26A
KIF2A	KIF2A
KIF3B	KIF3B
KIF4A	KIF4A
KIF9	KIF9
KIFAP3	KIFAP3
KITLG	KITLG
KLF12	KLF12
KLF3	KLF3
KLF5	KLF5
KLF8	KLF8
KLHL13	KLHL13
KLHL18	KLHL18
KLHL20	KLHL20
KLHL22	KLHL22
KLHL24	KLHL24
KLHL29	KLHL29
KLHL2	KLHL2
KLHL31	KLHL31
KLHL4	KLHL4
KLHL5	KLHL5
KLHL7	KLHL7
KLRB1	KLRB1
KMO	KMO
KNG1	KNG1
KPNA1	KPNA1
KPNA3	KPNA3
KPNA6	KPNA6
KPNB1	KPNB1
KRIT1	KRIT1
KRR1	KRR1
KRT18	KRT18
KRT19	KRT19
KRT5	KRT5
KRT8	KRT8
KYNU	KYNU
L2HGDH	L2HGDH
LACTB	LACTB
LAMA1	LAMA1
LAMA2	LAMA2
LAMA3	LAMA3
LAMA4	LAMA4
LAMA5	LAMA5
LAMB1	LAMB1
LAMB4	LAMB4
LAMC2	LAMC2
LAMP2	LAMP2
LANCL1	LANCL1
LAPTM4A	LAPTM4A
LAPTM4B	LAPTM4B
LARP4B	LARP4B
LARS2	LARS2
LASP1	LASP1
LCP2	LCP2
LCT	LCT
LDB3	LDB3
LDHB	LDHB
LEF1	LEF1
LEPR	LEPR
LFNG	LFNG
LGI1	LGI1
LGMN	LGMN
LHX5	LHX5
LIFR	LIFR
LIG3	LIG3
LILRA1	LILRA1
LIMA1	LIMA1
LIMCH1	LIMCH1
LIMS1	LIMS1
LIN7A	LIN7A
LIPA	LIPA
LLGL2	LLGL2
LMBR1	LMBR1
LMNB1	LMNB1
LMO3	LMO3
LNPEP	LNPEP
LNX1	LNX1
LONP2	LONP2
LOXL2	LOXL2
LOXL3	LOXL3
LOX	LOX
LPGAT1	LPGAT1
LPIN2	LPIN2
LPXN	LPXN
LRAT	LRAT
LRMP	LRMP
LRP11	LRP11
LRP2BP	LRP2BP
LRP2	LRP2
LRP6	LRP6
LRRC23	LRRC23
LRRC31	LRRC31
LRRC39	LRRC39
LRRC40	LRRC40
LRRC42	LRRC42
LRRC59	LRRC59
LRRC7	LRRC7
LRRFIP1	LRRFIP1
LRRFIP2	LRRFIP2
LSG1	LSG1
LSM5	LSM5
LTA4H	LTA4H
LTBP1	LTBP1
LTBP4	LTBP4
LTBR	LTBR
LUC7L3	LUC7L3
LUC7L	LUC7L
LUZP4	LUZP4
LXN	LXN
LY75	LY75
LY86	LY86
LY9	LY9
LYPLA1	LYPLA1
MAD1L1	MAD1L1
MAD2L1BP	MAD2L1BP
MAD2L2	MAD2L2
MADCAM1	MADCAM1
MAGEB2	MAGEB2
MAGI3	MAGI3
MAGT1	MAGT1
MAK	MAK
MAMLD1	MAMLD1
MAN1A1	MAN1A1
MAN1C1	MAN1C1
MAN2A1	MAN2A1
MAN2B1	MAN2B1
MANBA	MANBA
MANSC1	MANSC1
MAOB	MAOB
MAP2K4	MAP2K4
MAP2K6	MAP2K6
MAP2	MAP2
MAP3K13	MAP3K13
MAP3K1	MAP3K1
MAP3K4	MAP3K4
MAP3K8	MAP3K8
MAP3K9	MAP3K9
MAP4K1	MAP4K1
MAP4K3	MAP4K3
MAP4K4	MAP4K4
MAP4K5	MAP4K5
MAP4	MAP4
MAPK10	MAPK10
MAPK14	MAPK14
MAPK1	MAPK1
MAPK6	MAPK6
MAPK8	MAPK8
MAPK9	MAPK9
MAPKAP1	MAPKAP1
MAPRE1	MAPRE1
MARK1	MARK1
MARK2	MARK2
MARK3	MARK3
MARK4	MARK4
MAST2	MAST2
MAST4	MAST4
MAT2B	MAT2B
MAZ	MAZ
MBD3	MBD3
MBNL3	MBNL3
MBTD1	MBTD1
MBTPS2	MBTPS2
MCAM	MCAM
MCCC1	MCCC1
MCEE	MCEE
MCF2L2	MCF2L2
MCF2	MCF2
MCM10	MCM10
MCM2	MCM2
MCM4	MCM4
MCM6	MCM6
MCM9	MCM9
MCOLN1	MCOLN1
MCOLN3	MCOLN3
MDH1	MDH1
MDM1	MDM1
MDN1	MDN1
ME1	ME1
ME2	ME2
MECOM	MECOM
MED13L	MED13L
MED13	MED13
MED15	MED15
MED23	MED23
MED29	MED29
MEF2A	MEF2A
MEF2C	MEF2C
MEF2D	MEF2D
MEGF9	MEGF9
MEOX2	MEOX2
MEP1A	MEP1A
MEST	MEST
METAP2	METAP2
METRN	METRN
METTL4	METTL4
METTL8	METTL8
MET	MET
MFSD11	MFSD11
MFSD1	MFSD1
MGAT4A	MGAT4A
MGLL	MGLL
MGST1	MGST1
MGST2	MGST2
MIB1	MIB1
MICALL1	MICALL1
MID1	MID1
MID2	MID2
MINPP1	MINPP1
MIPEP	MIPEP
MLEC	MLEC
MLH1	MLH1
MLLT10	MLLT10
MLXIPL	MLXIPL
MMD	MMD
MMP2	MMP2
MMP3	MMP3
MMP9	MMP9
MNAT1	MNAT1
MND1	MND1
MOCOS	MOCOS
MON2	MON2
MORC1	MORC1
MORF4L2	MORF4L2
MOSPD1	MOSPD1
MOXD1	MOXD1
MPDZ	MPDZ
MPHOSPH10	MPHOSPH10
MPHOSPH9	MPHOSPH9
MPND	MPND
MPP4	MPP4
MPP5	MPP5
MPP6	MPP6
MPPED2	MPPED2
MREG	MREG
MRI1	MRI1
MRPL19	MRPL19
MRPL22	MRPL22
MRPL2	MRPL2
MRPL3	MRPL3
MRPS10	MRPS10
MRPS14	MRPS14
MRPS27	MRPS27
MRPS30	MRPS30
MRPS31	MRPS31
MRPS33	MRPS33
MRS2	MRS2
MRVI1	MRVI1
MS4A4A	MS4A4A
MSH2	MSH2
MSH3	MSH3
MSH4	MSH4
MSH6	MSH6
MSL3	MSL3
MSR1	MSR1
MSX1	MSX1
MSX2	MSX2
MT2A	MT2A
MTA3	MTA3
MTAP	MTAP
MTCH2	MTCH2
MTFMT	MTFMT
MTFR1	MTFR1
MTHFD1L	MTHFD1L
MTHFD2	MTHFD2
MTIF3	MTIF3
MTMR1	MTMR1
MTMR2	MTMR2
MTMR3	MTMR3
MTMR7	MTMR7
MTMR8	MTMR8
MTMR9	MTMR9
MTRF1L	MTRF1L
MTRF1	MTRF1
MTRR	MTRR
MTR	MTR
MUC1	MUC1
MUSK	MUSK
MXD1	MXD1
MXD4	MXD4
MXI1	MXI1
MYB	MYB
MYCBP2	MYCBP2
MYCT1	MYCT1
MYEF2	MYEF2
MYF5	MYF5
MYH14	MYH14
MYH1	MYH1
MYH2	MYH2
MYH9	MYH9
MYLK	MYLK
MYNN	MYNN
MYO16	MYO16
MYO3A	MYO3A
MYO3B	MYO3B
MYO9A	MYO9A
MYOM1	MYOM1
MYOM2	MYOM2
N4BP1	N4BP1
N4BP2	N4BP2
NAA10	NAA10
NAA25	NAA25
NAA40	NAA40
NAA50	NAA50
NAALAD2	NAALAD2
NALCN	NALCN
NAMPT	NAMPT
NANS	NANS
NARFL	NARFL
NAV3	NAV3
NBN	NBN
NCALD	NCALD
NCAPG	NCAPG
NCK2	NCK2
NCKAP1	NCKAP1
NCL	NCL
NCOA1	NCOA1
NCOA3	NCOA3
NCOA5	NCOA5
NCOA7	NCOA7
NCR2	NCR2
NDC80	NDC80
NDE1	NDE1
NDFIP2	NDFIP2
NDP	NDP
NDRG3	NDRG3
NDST1	NDST1
NDUFAF4	NDUFAF4
NDUFB2	NDUFB2
NDUFB3	NDUFB3
NDUFS1	NDUFS1
NDUFS7	NDUFS7
NEBL	NEBL
NECAB1	NECAB1
NECAB2	NECAB2
NEDD4L	NEDD4L
NEDD4	NEDD4
NEDD9	NEDD9
NEK11	NEK11
NEK2	NEK2
NEK4	NEK4
NEO1	NEO1
NFAT5	NFAT5
NFATC2	NFATC2
NFATC3	NFATC3
NFE2L2	NFE2L2
NFE2L3	NFE2L3
NFIX	NFIX
NFKB1	NFKB1
NFX1	NFX1
NFYC	NFYC
NGEF	NGEF
NID1	NID1
NINL	NINL
NIN	NIN
NIPAL2	NIPAL2
NIPAL3	NIPAL3
NKAIN1	NKAIN1
NKAP	NKAP
NKTR	NKTR
NKX2-1	NKX2-1
NLK	NLK
NLN	NLN
NLRC4	NLRC4
NLRP1	NLRP1
NME1-NME2	NME1-NME2
NMU	NMU
NNT	NNT
NOD1	NOD1
NOG	NOG
NOL10	NOL10
NOL4	NOL4
NOP14	NOP14
NOP16	NOP16
NOP58	NOP58
NOS1	NOS1
NOTCH1	NOTCH1
NOX1	NOX1
NOX3	NOX3
NOX4	NOX4
NPC1L1	NPC1L1
NPFFR2	NPFFR2
NPHP3	NPHP3
NPR3	NPR3
NPRL2	NPRL2
NR1H3	NR1H3
NR1H4	NR1H4
NR2C1	NR2C1
NR3C1	NR3C1
NR4A1	NR4A1
NR4A3	NR4A3
NR5A2	NR5A2
NRBP1	NRBP1
NRCAM	NRCAM
NRF1	NRF1
NRK	NRK
NRN1	NRN1
NRP1	NRP1
NRP2	NRP2
NRXN2	NRXN2
NRXN3	NRXN3
NSL1	NSL1
NSMAF	NSMAF
NT5C2	NT5C2
NT5DC3	NT5DC3
NTHL1	NTHL1
NTN1	NTN1
NTN4	NTN4
NTSR1	NTSR1
NUB1	NUB1
NUCB2	NUCB2
NUCKS1	NUCKS1
NUDCD1	NUDCD1
NUDCD3	NUDCD3
NUDC	NUDC
NUDT12	NUDT12
NUFIP1	NUFIP1
NUP107	NUP107
NUP133	NUP133
NUP153	NUP153
NUP155	NUP155
NUP160	NUP160
NUP37	NUP37
NUP43	NUP43
NUP50	NUP50
NUP98	NUP98
NUTF2	NUTF2
NXPH1	NXPH1
NXT2	NXT2
OCA2	OCA2
OCIAD1	OCIAD1
OCLN	OCLN
OCRL	OCRL
ODC1	ODC1
ODF2L	ODF2L
OGDH	OGDH
OGFRL1	OGFRL1
OGN	OGN
OLFM1	OLFM1
OLFM2	OLFM2
OLFM3	OLFM3
OLFML3	OLFML3
ONECUT2	ONECUT2
OPHN1	OPHN1
OPN3	OPN3
OPN5	OPN5
OPRM1	OPRM1
OR12D3	OR12D3
OR2B6	OR2B6
OSBPL3	OSBPL3
OSBPL6	OSBPL6
OSBPL8	OSBPL8
OSBPL9	OSBPL9
OSBP	OSBP
OSTM1	OSTM1
OTC	OTC
OVGP1	OVGP1
OVOL2	OVOL2
OXCT1	OXCT1
P2RY10	P2RY10
P4HA1	P4HA1
P4HA2	P4HA2
PABPC1	PABPC1
PACRG	PACRG
PACSIN1	PACSIN1
PACSIN2	PACSIN2
PADI2	PADI2
PAFAH1B1	PAFAH1B1
PAG1	PAG1
PAGE4	PAGE4
PAIP2B	PAIP2B
PAIP2	PAIP2
PAK3	PAK3
PALMD	PALMD
PALM	PALM
PANK3	PANK3
PANX1	PANX1
PAPD5	PAPD5
PAPD7	PAPD7
PAPOLA	PAPOLA
PAPOLG	PAPOLG
PAPPA2	PAPPA2
PARD3B	PARD3B
PARP11	PARP11
PARP12	PARP12
PARP4	PARP4
PASK	PASK
PAX3	PAX3
PBLD	PBLD
PBX4	PBX4
PCBP4	PCBP4
PCCB	PCCB
PCDH11X	PCDH11X
PCDH17	PCDH17
PCDHA6	PCDHA6
PCDHB10	PCDHB10
PCDHB14	PCDHB14
PCDHB3	PCDHB3
PCDHB4	PCDHB4
PCDHB7	PCDHB7
PCGF1	PCGF1
PCK2	PCK2
PCM1	PCM1
PCMT1	PCMT1
PCNP	PCNP
PCSK5	PCSK5
PCYOX1	PCYOX1
PCYT1B	PCYT1B
PDCD10	PDCD10
PDCD7	PDCD7
PDC	PDC
PDE10A	PDE10A
PDE1A	PDE1A
PDE4D	PDE4D
PDE8A	PDE8A
PDE8B	PDE8B
PDGFB	PDGFB
PDGFRL	PDGFRL
PDHX	PDHX
PDIA5	PDIA5
PDK3	PDK3
PDK4	PDK4
PDLIM1	PDLIM1
PDS5A	PDS5A
PDS5B	PDS5B
PDZRN3	PDZRN3
PEBP1	PEBP1
PECR	PECR
PEPD	PEPD
PER3	PER3
PERP	PERP
PEX12	PEX12
PEX5L	PEX5L
PEX7	PEX7
PFDN1	PFDN1
PFN1	PFN1
PFN2	PFN2
PGC	PGC
PGF	PGF
PGK1	PGK1
PGM1	PGM1
PGM3	PGM3
PGRMC1	PGRMC1
PGR	PGR
PGS1	PGS1
PHACTR1	PHACTR1
PHACTR2	PHACTR2
PHACTR3	PHACTR3
PHEX	PHEX
PHF12	PHF12
PHF13	PHF13
PHF14	PHF14
PHF19	PHF19
PHF20	PHF20
PHF21B	PHF21B
PHF23	PHF23
PHF3	PHF3
PHF7	PHF7
PHGDH	PHGDH
PHKA1	PHKA1
PHKB	PHKB
PHLDB1	PHLDB1
PHLDB2	PHLDB2
PHLPP1	PHLPP1
PHLPP2	PHLPP2
PHOX2B	PHOX2B
PHTF1	PHTF1
PHTF2	PHTF2
PI4K2B	PI4K2B
PIAS1	PIAS1
PIAS2	PIAS2
PIBF1	PIBF1
PICALM	PICALM
PIGB	PIGB
PIGL	PIGL
PIGU	PIGU
PIH1D1	PIH1D1
PIK3C2A	PIK3C2A
PIK3C3	PIK3C3
PIK3CA	PIK3CA
PIK3CB	PIK3CB
PIK3CG	PIK3CG
PIK3IP1	PIK3IP1
PIKFYVE	PIKFYVE
PIN4	PIN4
PIP5K1B	PIP5K1B
PIR	PIR
PITPNM1	PITPNM1
PKD1	PKD1
PKD2L1	PKD2L1
PKD2L2	PKD2L2
PKD2	PKD2
PKN1	PKN1
PKN2	PKN2
PKP2	PKP2
PLA2G15	PLA2G15
PLA2G4A	PLA2G4A
PLAGL1	PLAGL1
PLBD1	PLBD1
PLCB4	PLCB4
PLCH1	PLCH1
PLCL1	PLCL1
PLD1	PLD1
PLEKHA1	PLEKHA1
PLEKHA3	PLEKHA3
PLEKHA5	PLEKHA5
PLEKHA8	PLEKHA8
PLEKHB2	PLEKHB2
PLEKHG1	PLEKHG1
PLIN3	PLIN3
PLP1	PLP1
PLS1	PLS1
PLS3	PLS3
PLSCR4	PLSCR4
PLXDC2	PLXDC2
PLXNA2	PLXNA2
PMFBP1	PMFBP1
PMM1	PMM1
PMP22	PMP22
PMPCB	PMPCB
PMS1	PMS1
PMS2	PMS2
PNO1	PNO1
PNPLA4	PNPLA4
PNPLA6	PNPLA6
POF1B	POF1B
POFUT1	POFUT1
POFUT2	POFUT2
POLA1	POLA1
POLA2	POLA2
POLB	POLB
POLD3	POLD3
POLE2	POLE2
POLI	POLI
POLK	POLK
POLM	POLM
POLQ	POLQ
POLR1B	POLR1B
POLR2B	POLR2B
POLR3B	POLR3B
POLR3G	POLR3G
POLRMT	POLRMT
PON1	PON1
PON2	PON2
PON3	PON3
POP1	POP1
POU1F1	POU1F1
POU2AF1	POU2AF1
POU6F2	POU6F2
PPARGC1A	PPARGC1A
PPEF1	PPEF1
PPFIBP1	PPFIBP1
PPIE	PPIE
PPM1A	PPM1A
PPM1H	PPM1H
PPP1R12A	PPP1R12A
PPP1R12B	PPP1R12B
PPP1R12C	PPP1R12C
PPP1R13L	PPP1R13L
PPP2CA	PPP2CA
PPP2R1A	PPP2R1A
PPP2R3A	PPP2R3A
PPP2R3C	PPP2R3C
PPP2R5A	PPP2R5A
PPP2R5B	PPP2R5B
PPP2R5C	PPP2R5C
PPP3CB	PPP3CB
PPP3CC	PPP3CC
PPP4R4	PPP4R4
PPP6C	PPP6C
PPWD1	PPWD1
PRB2	PRB2
PRDM11	PRDM11
PRDM1	PRDM1
PRDM2	PRDM2
PRDM4	PRDM4
PRDM6	PRDM6
PREP	PREP
PREX1	PREX1
PREX2	PREX2
PRG4	PRG4
PRKAG2	PRKAG2
PRKAR2A	PRKAR2A
PRKAR2B	PRKAR2B
PRKCH	PRKCH
PRKCQ	PRKCQ
PRKD3	PRKD3
PRLR	PRLR
PRMT8	PRMT8
PROCR	PROCR
PROM1	PROM1
PROX1	PROX1
PRPF31	PRPF31
PRPF40B	PRPF40B
PRPF4B	PRPF4B
PRPF6	PRPF6
PRR11	PRR11
PRR4	PRR4
PRRX1	PRRX1
PRSS16	PRSS16
PRSS3	PRSS3
PRTFDC1	PRTFDC1
PRUNE2	PRUNE2
PSD	PSD
PSEN1	PSEN1
PSG8	PSG8
PSMA3	PSMA3
PSMC4	PSMC4
PSMD14	PSMD14
PSMD5	PSMD5
PSME1	PSME1
PSME4	PSME4
PSPC1	PSPC1
PTBP2	PTBP2
PTCD1	PTCD1
PTCD2	PTCD2
PTGER3	PTGER3
PTGFR	PTGFR
PTK2B	PTK2B
PTK7	PTK7
PTN	PTN
PTP4A1	PTP4A1
PTPN18	PTPN18
PTPN21	PTPN21
PTPN3	PTPN3
PTPN4	PTPN4
PTPRC	PTPRC
PTPRZ1	PTPRZ1
PUM2	PUM2
PUS3	PUS3
PUS7	PUS7
PYGB	PYGB
PYGL	PYGL
PYROXD1	PYROXD1
QKI	QKI
QPCT	QPCT
QSER1	QSER1
QSOX1	QSOX1
R3HDM1	R3HDM1
RAB10	RAB10
RAB11A	RAB11A
RAB11FIP2	RAB11FIP2
RAB11FIP3	RAB11FIP3
RAB14	RAB14
RAB18	RAB18
RAB21	RAB21
RAB22A	RAB22A
RAB23	RAB23
RAB27A	RAB27A
RAB27B	RAB27B
RAB2A	RAB2A
RAB32	RAB32
RAB34	RAB34
RAB38	RAB38
RAB3D	RAB3D
RAB3GAP1	RAB3GAP1
RAB3GAP2	RAB3GAP2
RAB40AL	RAB40AL
RAB5B	RAB5B
RAB9A	RAB9A
RAB9B	RAB9B
RABAC1	RABAC1
RABEP1	RABEP1
RAD18	RAD18
RAD1	RAD1
RAD23B	RAD23B
RAD50	RAD50
RAD52	RAD52
RAI14	RAI14
RALA	RALA
RALBP1	RALBP1
RALGPS2	RALGPS2
RANBP3	RANBP3
RANBP9	RANBP9
RANGAP1	RANGAP1
RAP1A	RAP1A
RAP2A	RAP2A
RAP2C	RAP2C
RAPGEF1	RAPGEF1
RAPGEF2	RAPGEF2
RAPGEF4	RAPGEF4
RARB	RARB
RARRES1	RARRES1
RARS	RARS
RASAL2	RASAL2
RASGRF1	RASGRF1
RASGRF2	RASGRF2
RASIP1	RASIP1
RASSF1	RASSF1
RASSF7	RASSF7
RASSF8	RASSF8
RB1CC1	RB1CC1
RBBP5	RBBP5
RBBP8	RBBP8
RBL1	RBL1
RBL2	RBL2
RBM18	RBM18
RBM24	RBM24
RBM25	RBM25
RBM27	RBM27
RBM41	RBM41
RBM6	RBM6
RBM7	RBM7
RBMS2	RBMS2
RBPJL	RBPJL
RBPJ	RBPJ
RBX1	RBX1
RC3H2	RC3H2
RCAN3	RCAN3
RCL1	RCL1
RCN2	RCN2
RCOR1	RCOR1
RCOR3	RCOR3
RECK	RECK
RECQL	RECQL
REG1A	REG1A
RERGL	RERGL
REST	REST
RETSAT	RETSAT
REV3L	REV3L
REXO2	REXO2
RFC1	RFC1
RFC2	RFC2
RFX2	RFX2
RFX3	RFX3
RFX4	RFX4
RGS17	RGS17
RGS2	RGS2
RGS4	RGS4
RGS9	RGS9
RGSL1	RGSL1
RHAG	RHAG
RHBDD2	RHBDD2
RHEB	RHEB
RHOA	RHOA
RHOBTB1	RHOBTB1
RHOQ	RHOQ
RIC8B	RIC8B
RIF1	RIF1
RIMBP2	RIMBP2
RIMS1	RIMS1
RIMS3	RIMS3
RIN3	RIN3
RIOK1	RIOK1
RIOK2	RIOK2
RIOK3	RIOK3
RLF	RLF
RLN1	RLN1
RND3	RND3
RNF125	RNF125
RNF130	RNF130
RNF13	RNF13
RNF141	RNF141
RNF146	RNF146
RNF14	RNF14
RNF167	RNF167
RNF19A	RNF19A
RNF19B	RNF19B
RNF216	RNF216
RNF24	RNF24
RNF32	RNF32
RNF40	RNF40
RNF43	RNF43
RNF4	RNF4
RNGTT	RNGTT
RNMT	RNMT
ROCK1	ROCK1
ROGDI	ROGDI
ROPN1	ROPN1
RORA	RORA
ROS1	ROS1
RP1	RP1
RP2	RP2
RPA3	RPA3
RPAP2	RPAP2
RPAP3	RPAP3
RPE65	RPE65
RPF1	RPF1
RPGRIP1L	RPGRIP1L
RPGRIP1	RPGRIP1
RPH3A	RPH3A
RPL18A	RPL18A
RPL21	RPL21
RPL26L1	RPL26L1
RPL28	RPL28
RPL5	RPL5
RPL6	RPL6
RPN2	RPN2
RPP40	RPP40
RPRD1B	RPRD1B
RPS12	RPS12
RPS15	RPS15
RPS20	RPS20
RPS6KA2	RPS6KA2
RPS6KA5	RPS6KA5
RPS6KA6	RPS6KA6
RPS6KB1	RPS6KB1
RRAGD	RRAGD
RREB1	RREB1
RRM2B	RRM2B
RRN3	RRN3
RRP15	RRP15
RS1	RS1
RSBN1	RSBN1
RSF1	RSF1
RSPH4A	RSPH4A
RSRC2	RSRC2
RTN2	RTN2
RTN4	RTN4
RUFY3	RUFY3
RUNDC3B	RUNDC3B
RUNX1T1	RUNX1T1
RUNX2	RUNX2
RWDD1	RWDD1
S100A4	S100A4
S100PBP	S100PBP
SAMD4A	SAMD4A
SAMHD1	SAMHD1
SAR1A	SAR1A
SARDH	SARDH
SARM1	SARM1
SARS	SARS
SASH1	SASH1
SATB2	SATB2
SBF1	SBF1
SCAMP1	SCAMP1
SCAMP3	SCAMP3
SCAP	SCAP
SCD	SCD
SCFD1	SCFD1
SCG3	SCG3
SCGN	SCGN
SCIN	SCIN
SCMH1	SCMH1
SCML2	SCML2
SCP2	SCP2
SCTR	SCTR
SCYL3	SCYL3
SDC1	SDC1
SDC4	SDC4
SDCBP2	SDCBP2
SDCBP	SDCBP
SDCCAG8	SDCCAG8
SDHAF2	SDHAF2
SEC14L5	SEC14L5
SEC16B	SEC16B
SEC22A	SEC22A
SEC22C	SEC22C
SEC23A	SEC23A
SEC23B	SEC23B
SEC23IP	SEC23IP
SEC24A	SEC24A
SEC61A2	SEC61A2
SEC63	SEC63
SEH1L	SEH1L
SEL1L2	SEL1L2
SEL1L3	SEL1L3
SEL1L	SEL1L
SELE	SELE
SEMA3A	SEMA3A
SEMA3C	SEMA3C
SEMA5A	SEMA5A
SEMA6A	SEMA6A
SENP1	SENP1
SENP5	SENP5
SENP6	SENP6
SEPSECS	SEPSECS
SEPT7	SEPT7
SERAC1	SERAC1
SERINC1	SERINC1
SERP1	SERP1
SERPINA7	SERPINA7
SERPINB1	SERPINB1
SERPINB3	SERPINB3
SERPINB6	SERPINB6
SERPINH1	SERPINH1
SERPINI2	SERPINI2
SERTAD4	SERTAD4
SESN1	SESN1
SETX	SETX
SEZ6L	SEZ6L
SEZ6	SEZ6
SF3B2	SF3B2
SFRP1	SFRP1
SFRP2	SFRP2
SFRP4	SFRP4
SGCG	SGCG
SGIP1	SGIP1
SGK1	SGK1
SGK3	SGK3
SH2D3A	SH2D3A
SH2D3C	SH2D3C
SH2D4A	SH2D4A
SH3D19	SH3D19
SH3GL2	SH3GL2
SH3GLB1	SH3GLB1
SH3PXD2A	SH3PXD2A
SHB	SHB
SHOC2	SHOC2
SIAE	SIAE
SIDT1	SIDT1
SIL1	SIL1
SIM1	SIM1
SIPA1L2	SIPA1L2
SIPA1L3	SIPA1L3
SIRPB1	SIRPB1
SIRPG	SIRPG
SIRT1	SIRT1
SIRT5	SIRT5
SI	SI
SKAP2	SKAP2
SKP1	SKP1
SLAIN2	SLAIN2
SLAMF1	SLAMF1
SLC10A2	SLC10A2
SLC10A7	SLC10A7
SLC12A1	SLC12A1
SLC12A2	SLC12A2
SLC13A1	SLC13A1
SLC16A10	SLC16A10
SLC16A7	SLC16A7
SLC17A1	SLC17A1
SLC17A2	SLC17A2
SLC17A3	SLC17A3
SLC17A5	SLC17A5
SLC17A7	SLC17A7
SLC17A9	SLC17A9
